                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.99811,                 2.2984,                 1.2759,                 1.1061,                0.55819,                0.58089,                0.60501,                0.45618,                 0.5237,                0.55014,                0.56067,                0.37191,                 1.0743,                 2.0951,                 1.1446,                 1.1177,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.1348,                 2.3976,                 1.3845,                 1.1843,                0.61073,                0.60419,                0.62681,                0.47295,                0.58602,                0.57553,                0.59019,                0.39138,                 1.0721,                 2.0415,                  1.094,                 1.1127,               0.086005,               0.001005,               0.001005
                      2,                 1.1199,                 2.3357,                 1.2716,                 1.1552,                0.64193,                0.60736,                0.64363,                0.48392,                0.60078,                0.55745,                0.58954,                0.39719,                 1.0567,                 2.0149,                 1.0738,                 1.1024,               0.077782,               0.000782,               0.000782
